Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-12-07,3179.464599609375,3191.439148945329,3126.0670229182915,3159.950519210043,1484458
2021-12-08,3217.072998046875,3234.4139602705127,3194.099693371914,3194.099693371914,1428660
2021-12-09,3194.7646484375,3224.035762034623,3163.05427537395,3202.082426836781,1567957
2021-12-10,3225.8544921875,3230.46686724847,3171.126417511061,3179.907665866492,1510718
2021-12-13,3201.772216796875,3248.2069383784756,3194.7205820190884,3237.562895980731,1883864
2021-12-14,3214.323486328125,3224.25788271104,3172.545532780773,3197.6477763888033,1747007
2021-12-15,3166.91357421875,3213.614229855621,3156.0919564259625,3210.953218900731,1603233
2021-12-16,3176.892333984375,3200.708251863708,3166.60300510544,3177.24704882008,2072320
2021-12-17,3179.331298828125,3238.7605373840274,3169.884580976256,3195.4303268304093,4333992
2021-12-20,3154.982666015625,3198.5346245351966,3113.5152523447928,3183.4555650185303,2312310
2021-12-21,3200.57470703125,3229.757034964151,3163.4091312077126,3177.822937788501,2340989
2021-12-22,3220.48779296875,3225.8542071800953,3198.7562083298367,3214.500519649866,1224328
2021-12-23,3248.827880859375,3255.746551906063,3219.8229078923873,3235.788971898465,1792861
2021-12-24,3256.1015625,3286.3484731251106,3232.95089752028,3268.6084003956903,2209923
2021-12-27,3278.453857421875,3281.9130845923037,3240.312705357694,3256.189982037391,1534135
2021-12-28,3287.722412109375,3304.08758111317,3276.4575125260903,3290.7825304509693,1456218
2021-12-29,3277.211669921875,3299.608507488964,3268.607779592957,3275.0385547359824,1456923
2021-12-30,3311.84912109375,3317.3928926389353,3264.1726858051557,3265.370227080346,1966475
2021-12-31,3315.9296875,3335.133227039575,3309.676269388582,3319.8768098436235,1207141
2022-01-03,3386.357421875,3397.2232141395452,3321.827920875352,3326.262938126187,2346158
2022-01-04,3445.78662109375,3449.689349616876,3380.9909763489923,3398.1989730548594,2488606
2022-01-05,3424.67626953125,3432.703694867435,3381.6122044154104,3428.2686771738076,1733031
2022-01-06,3377.221435546875,3401.658425302727,3345.777204756685,3381.257344785918,1810293
2022-01-07,3418.068359375,3428.180113754431,3367.420367389519,3388.3537388899704,2460591
2022-01-10,3441.4404296875,3528.4997318754135,3424.720327996725,3528.4997318754135,3937092
2022-01-11,3473.4169921875,3481.4888108289488,3420.285568039854,3420.285568039854,1906106
2022-01-12,3423.744873046875,3485.0369042039447,3403.0334703465164,3481.4888900484816,3203744
2022-01-13,3457.451171875,3479.715048380294,3421.1728120323205,3475.2800304751445,6684507
2022-01-14,3519.763671875,3527.6137413002043,3423.8787011195923,3439.6674104084805,3348123
2022-01-17,3564.999755859375,3586.154874326634,3514.573740699886,3541.538558401863,3442604
2022-01-18,3539.676513671875,3585.0022659184015,3530.274189259942,3578.127988288561,2389041
2022-01-19,3478.40966796875,3564.9112784096897,3474.722221889604,3564.9112784096897,3102539
2022-01-20,3400.127685546875,3483.1637786694,3386.3105001298686,3474.2781567850393,6176776
2022-01-21,3406.30322265625,3422.3418138894167,3350.8570276785663,3382.756324156083,3112358
2022-01-24,3351.078857421875,3420.653098273078,3323.3112910112377,3412.078560539118,3258414
2022-01-25,3349.790283203125,3384.888487297155,3307.4059130384235,3349.434945125185,3330501
2022-01-27,3242.585205078125,3317.3576181352228,3221.1265173905385,3315.225155894084,5718297
2022-01-28,3278.8388671875,3314.159213319958,3239.6976603507437,3239.6976603507437,3143862
2022-01-31,3319.89013671875,3339.2163623389933,3306.694902797494,3331.219303461651,2739393
2022-02-01,3377.113525390625,3383.644543728451,3320.023409336383,3349.8791832605725,2105169
2022-02-02,3426.473388671875,3433.4042169687295,3377.1137168552855,3401.3270359319927,1984212
2022-02-03,3398.3955078125,3449.843178942447,3390.7982566523374,3421.853466093333,1960538
2022-02-04,3389.776123046875,3398.4840766951115,3348.991201555373,3390.1316781159926,2307366
2022-02-07,3357.876220703125,3404.7923435959337,3337.572489673576,3368.538966045395,1919149
2022-02-08,3326.287841796875,3376.2694613033686,3306.339665487328,3369.02776676185,2946443
2022-02-09,3341.482666015625,3356.9435617136155,3328.642985453299,3332.1082913026003,1638721
2022-02-10,3350.1904296875,3367.4729203279344,3339.216600228163,3367.4729203279344,2112459
2022-02-11,3283.193115234375,3334.3299172454485,3278.7947753859307,3334.3299172454485,3851488
2022-02-14,3317.668701171875,3370.5381454891767,3296.5653515494223,3309.0052208005523,5951745
2022-02-15,3392.35302734375,3407.636254773637,3330.3313384332705,3364.0967041911317,3931683
2022-02-16,3388.176025390625,3424.6070692875323,3381.867148088499,3415.632505846608,3256906
2022-02-17,3362.496826171875,3407.6358265307354,3357.8763464040803,3398.750205079547,3134372
2022-02-18,3371.1162109375,3390.709051805688,3338.861575025704,3348.991097834247,3688883
2022-02-21,3304.91796875,3401.238235819317,3292.6115131522834,3385.421786187314,7465922
2022-02-22,3186.739013671875,3259.1568244811297,3172.1666820740847,3243.2516497396105,5408531
2022-02-23,3166.65771484375,3219.1716057796148,3159.415803432267,3208.5978033646575,2426203
2022-02-24,3022.576904296875,3095.6168757851424,3013.202748546364,3086.8644531268505,5039136
2022-02-25,3128.405029296875,3136.624228763181,3076.2020056595275,3081.5333782863204,2549723
2022-02-28,3158.12744140625,3166.6132530334003,3070.7817416818107,3101.081796727202,3288942
2022-03-02,3150.974365234375,3173.899310518128,3115.2986841335264,3156.6168212733464,2761341
2022-03-03,3149.41943359375,3179.8084310877025,3136.7131690580727,3165.813577954369,1928039
2022-03-04,3131.6044921875,3164.3478813538386,3098.461076456285,3111.3007577444255,2370257
2022-03-07,3096.550537109375,3152.6189025616236,3049.1458706374888,3065.5398009688843,3054130
2022-03-08,3198.779052734375,3206.820583036263,3074.424831616922,3074.424831616922,3300992
2022-03-09,3227.791015625,3246.806159231084,3196.2025871914693,3203.2666130344987,2719654
2022-03-10,3217.43896484375,3273.4628498933785,3212.152063616874,3273.4628498933785,2005441
2022-03-11,3198.068603515625,3234.2332591475283,3192.4708351186337,3201.7117953641396,1623423
2022-03-14,3237.0322265625,3241.786121299952,3181.052805680414,3181.052805680414,1765688
2022-03-15,3193.403564453125,3251.2490497339313,3185.8507858462003,3251.2490497339313,3651133
2022-03-16,3248.494140625,3259.2458289609194,3213.262739634658,3234.810370864838,3090475
2022-03-17,3263.466796875,3296.565738589953,3252.4042409503854,3284.6590919681585,3600452
2022-03-21,3222.54833984375,3300.075388245015,3212.1522059664503,3284.1257408719225,2413831
